Name,Address,Phone,Rating,AvgCost,Known For,Popular Dishes,Cuisine,Reviews,Location
Bikanervala,"20, Ground Floor & 121 First Floor, Unity One, Rohini Metro Station Complex, Rohini, New Delhi",+911145709900,4.0,500,Very Clean Place|Parking Space Available|Breakfast Menu|Hygienic Place|Reasonable Cost|Nice Ambience|,Deluxe Thali|Raj Kachori|Chole Bhature|Sweets|Pav Bhaji|Dosa|,Mithai|North Indian|Chinese|Fast Food|Street Food|Desserts|Beverages|,Dining|Delivery|Deluxe Thali|Raj Kachori|Chole Bhature|Sweets|Pav Bhaji|Dosa|Very Clean Place|Parking Space Available|Breakfast Menu|Hygienic Place|Reasonable Cost|Nice Ambience|,North Delhi
McDonald's,"A-79A, Savoy Suite, Sector 16, Noida",+919899795813,4.2,0,Mc Spicy Chicken|Maharaja Mac|Brownie Ice Cream|Happy Meal|Hot Coffee|French Fries|,Classic Burgers and Fries|,Burger|Fast Food|Beverages|Coffee|,Dining|Delivery|Mc Spicy Chicken|Maharaja Mac|Brownie Ice Cream|Happy Meal|Hot Coffee|French Fries|Bang for the Buck|Elegantly Decorated|Cozy Ambiance|Good Crowd|Parking|Breakfast|,East Delhi
BroSis Kitchen,"25A, Pocket A1, Near Bharat Petrol Pump, Mayur Vihar Phase 3, New Delhi",+919667932886,4.0,150,Nice Food|Good Taste|Awesome Food|Tasty|Portion|Good Food|,,North Indian|Street Food|Fast Food|,Nice Food|Good Taste|Awesome Food|Tasty|Portion|Good Food|,East Delhi
Ram-G Samosa Wale,"A-434, Main Market, New Ashok Nagar, Vasundhara Enclave, New Delhi",+919868989493,3.9,50,,,Street Food|Chinese|,,East Delhi
Food Fantasy,"P-35-36, Opposite Fine Home Apartments, Mayur Vihar Phase 1, New Delhi",+911140114880,4.0,200,Nice Food|Great Taste|Good Taste|Good Service|Good Food|Quantity|,Achari Chicken|Chicken Lababdar|Paneer Butter Masala|Tandoori Chicken|Butter Chicken|Pizza|,North Indian|Chinese|Biryani|Mughlai|Seafood|,Achari Chicken|Chicken Lababdar|Paneer Butter Masala|Tandoori Chicken|Butter Chicken|Pizza|Nice Food|Great Taste|Good Taste|Good Service|Good Food|Quantity|,East Delhi
Eat Out,"Opposite Bhagyawan CHS, Acharya Niketan, Mayur Vihar Phase 1, New Delhi",+918586875455,3.9,450,Rajma Rice|Chicken Momo|Rajma Chawal|Honey Chilli Potatoes|Spring Roll|Noodles|,,,Dining|Delivery|Rajma Rice|Chicken Momo|Rajma Chawal|Honey Chilli Potatoes|Spring Roll|Noodles|,East Delhi
Punjabi Angithi,"Shop C-58 & C 59, Gulmohar Market, Sector 15, Noida",+918368858892,4.0,200,Good Packaging|Weekend Brunch|Yummy Food|Tandoori|Food Taste|Delivery Time|,Handi Paneer|Tawa Chaap Masala|Achari Chaap|Chaap Roll|Tandoori Momos|Paneer Butter Masala|,North Indian|Chinese|Rolls|Momos|Street Food|,Handi Paneer|Tawa Chaap Masala|Achari Chaap|Chaap Roll|Tandoori Momos|Paneer Butter Masala|Good Packaging|Weekend Brunch|Yummy Food|Tandoori|Food Taste|Delivery Time|,East Delhi
Nazeer Foods,"D-590, West Vinod Nagar, IP Extension, New Delhi",+919999932032,3.9,600,Good for Large Groups|Comfortable Seating|Portion Size|Quality Food|Great Place|Ambiance|,Chicken Lollypop|Tawa Chicken|Mughlai Food|Tandoori Roti|Rolls|Breads|,North Indian|Mughlai|Biryani|Fast Food|Beverages|Desserts|,Dining|Delivery|Chicken Lollypop|Tawa Chicken|Mughlai Food|Tandoori Roti|Rolls|Breads|Good for Large Groups|Comfortable Seating|Portion Size|Quality Food|Great Place|Ambiance|,East Delhi
La Pino'z Pizza,"G-04 C, Ground Floor, New Ashok Nagar Metro Station, Mayur Vihar Phase 1, New Delhi",+919667138351,3.7,200,,,,,East Delhi
Pizza Vizza,"C-49, Shashi Garden, Mayur Vihar Phase 1, New Delhi",+919999704735,4.2,150,Customizations Available|Plenty of Vegetarian Options|Economical|Cordial Staff|Good Portions|Prompt Service|,Vegetable Pizza|Cheese Garlic Bread|Pizzas|Breads|Cake|,Pizza|Fast Food|,Vegetable Pizza|Cheese Garlic Bread|Pizzas|Breads|Cake|Customizations Available|Plenty of Vegetarian Options|Economical|Cordial Staff|Good Portions|Prompt Service|,East Delhi
Biryani Blues,"495-496, Ganesh Nagar, Shakarpur, Vikas Marg, New Delhi",+918010801000,4.1,300,Good Wifi|Customizable Food|Elaborate Menu|Proper Packaging|Good Taste|Worth the Money|,Paneer 65|Paneer Biryani|Chicken Dum Biryani|Chicken 65|Gulab Jamun|Raita|,Biryani|Kebab|Desserts|,Paneer 65|Paneer Biryani|Chicken Dum Biryani|Chicken 65|Gulab Jamun|Raita|Good Wifi|Customizable Food|Elaborate Menu|Proper Packaging|Good Taste|Worth the Money|,East Delhi
China Town,"Opposite Fine Home Apartments, Acharya Niketan, Mayur Vihar Phase 1, New Delhi",+918447431681,3.9,350,,,Chinese|Momos|Fast Food|Rolls|,Dining|Delivery|,East Delhi
Bikanervala,"Shop 10 & 11, Ground Floor, Shop 1&2, First Floor, Plot -4B, Near CNG Petrol Pump, Mayur Vihar Phase 1, New Delhi",+918130396652,3.8,500,,,,Dining|Delivery|,East Delhi
Burger King,"C 135, Ground Floor & Mezanine Floor, Gautam Buddha Nagar, Sector 2, Noida",+918433968235,4.1,400,Everything was very Good|Comforting Atmosphere|Best Staff|Fantastic Decoration|Hygiene|Food Presentation|,Cheesy Fries|Chocolate Shake|Wrap|French Fries|Burgers|,Burger|Fast Food|Street Food|,Dining|Delivery|Cheesy Fries|Chocolate Shake|Wrap|French Fries|Burgers|Everything was very Good|Comforting Atmosphere|Best Staff|Fantastic Decoration|Hygiene|Food Presentation|,East Delhi
Khadak Singh Da Dhaba,"P-40, Mayur Vihar Phase 1, New Delhi",+919717968181,3.9,200,,,,,East Delhi
South Indian Fast Food,"Shop 3 & 4, DDA Market, Pocket A, Mayur Vihar Phase 2, New Delhi",+919999746007,4.1,300,Pocket Friendly|Polite Staff|Perfect Presentation|Packaging|Quantity|Ambience|,,South Indian|,Dining|Delivery|Pocket Friendly|Polite Staff|Perfect Presentation|Packaging|Quantity|Ambience|,East Delhi
Youth Dosa,"Shop 1, House 1, Ground Floor, Chilla Village, Mayur Vihar Phase 1, New Delhi",+917827840448,4.0,300,South Indian Food|Elaborate Menu|Fresh Food|Good Quality|,,South Indian|,Dining|Delivery|South Indian Food|Elaborate Menu|Fresh Food|Good Quality|,East Delhi
Parantha Express,"D-370 & 371, Ground Floor, Pandav Nagar, New Delhi",+918447878447,4.1,100,,,North Indian|Sandwich|Street Food|Beverages|,,East Delhi
Domino's Pizza,"1/1-A & 2, Anupama Arcade, Mayur Vihar Phase 1, New Delhi",+911141614710,4.2,400,Delivery Services|Prompt Service|Reasonable Prices|Packaging|Good Service|Delicious Food|,Sweet Corn Pizza|Spicy Chicken|Cheese Burst|Pizzas|,Pizza|Fast Food|,Dining|Delivery|Sweet Corn Pizza|Spicy Chicken|Cheese Burst|Pizzas|Delivery Services|Prompt Service|Reasonable Prices|Packaging|Good Service|Delicious Food|,East Delhi
White Cub,"Unit D-205, Zone-1, Sector 10, Noida",+918595314871,3.9,100,,,,,East Delhi
Biryani By Kilo,"246/67, School Block, East Mandavali, Fazalpur, IP Extension, New Delhi",+919212199888,4.3,450,Delivery Person|Authentic Taste|Excellent Food|Cute Packaging|Portion Size|Food Presentation|,Nawabi Paneer|Veg Korma|Firni|Basmati Rice|Egg Biryani|Kababs|,Biryani|Hyderabadi|North Indian|Kebab|Mughlai|Desserts|,Nawabi Paneer|Veg Korma|Firni|Basmati Rice|Egg Biryani|Kababs|Delivery Person|Authentic Taste|Excellent Food|Cute Packaging|Portion Size|Food Presentation|,East Delhi
Pizza Hut,"Shop P/37/38, 281, Ground Floor, Pandav Nagar, Mayur Vihar Phase 1, New Delhi",+918588812413,3.7,800,,,,Dining|Delivery|,East Delhi
Sagar Ratna,"P 19/20, 1st Floor, Pandav Nagar, New Delhi",+917428386445,4.2,600,,,South Indian|North Indian|Desserts|Beverages|,Dining|Delivery|,East Delhi
Hira Sweets,"E-60, Vikas Marg, Laxmi Nagar, New Delhi",+911122469755,4.0,500,Gift Baskets Available|Sweetshop+Restaurant|Spacious Seating Area|Good for Families|Parking Space Available|Comfortable Chairs|,Fruit Rabri|Balushahi|Matar Kachori|Stuffed Aloo|Kaju Katli|Kalakand|,Mithai|North Indian|South Indian|Chinese|Street Food|,Dining|Delivery|Fruit Rabri|Balushahi|Matar Kachori|Stuffed Aloo|Kaju Katli|Kalakand|Gift Baskets Available|Sweetshop+Restaurant|Spacious Seating Area|Good for Families|Parking Space Available|Comfortable Chairs|,East Delhi
Subway,"G-7,8,9, Sikka Plaza 2, Near Ahlcon Public School, Mayur Vihar Phase 1, New Delhi",+919953680840,4.2,400,Plenty of Vegetarian Options|Comfort Food|Seating Area|Prompt Service|Great Ambiance|Great Recommendations|,Customizable submarine sandwiches and salads|,Healthy Food|Fast Food|Sandwich|Salad|Wraps|Beverages|,Dining|Delivery|Plenty of Vegetarian Options|Comfort Food|Seating Area|Prompt Service|Great Ambiance|Great Recommendations|,East Delhi
Singla's,"A-139/140, Main Road, Madhu Vihar, Near Hasanpur Depot, IP Extension, New Delhi",+911122232323,4.1,500,Family Favorite|Office Crowd|Cozy Ambiance|Pocket Friendly|Good Crowd|Family Restaurant|,Kaju Barfi|Puri Sabzi|Kaju Katli|Golgappe|Raj Kachori|Veg Chowmein|,North Indian|Rolls|Chinese|Fast Food|Street Food|South Indian|Pizza|Desserts|,Dining|Delivery|Kaju Barfi|Puri Sabzi|Kaju Katli|Golgappe|Raj Kachori|Veg Chowmein|Family Favorite|Office Crowd|Cozy Ambiance|Pocket Friendly|Good Crowd|Family Restaurant|,East Delhi
Mariyan Restaurant,"A-1220/1221, Gharoli Dairy Colony, Mayur Vihar Phase 3, New Delhi",+918447127533,3.7,400,Friendly Staffs|Amazing Food|Good Service|Good Taste|Customizable Food|Elaborate Menu|,,South Indian|Kerala|North Indian|Beverages|Mughlai|,Dining|Delivery|Friendly Staffs|Amazing Food|Good Service|Good Taste|Customizable Food|Elaborate Menu|,East Delhi
Aashirwad Restaurant,"B-31/125, Gali 4, Mangal Bazar Road, Guru Nanak Pura, Laxmi Nagar, New Delhi",+919821901135,3.8,150,,,North Indian|Chinese|,,East Delhi
China Town,"DAV Complex, Samachar Market, Mayur Vihar Phase 1, New Delhi",+911165411476,3.8,400,,,Chinese|Fast Food|Momos|Street Food|,Dining|Delivery|,East Delhi
If Pizza,"Shop B 63, Ganesh Nagar, Near Pal Book Depot, Pandav Nagar, New Delhi",+918744904490,4.3,300,Staff Behaviour|Amazing Food|Reasonable Price|Value for Money|,,Pizza|Fast Food|,Dining|Delivery|Staff Behaviour|Amazing Food|Reasonable Price|Value for Money|,East Delhi
Jeet Punjabi Dhaba,"Shop 97, Village Kotla, Mayur Vihar Phase 1, New Delhi",+919999052959,3.9,350,,,,Dining|Delivery|,East Delhi
Balaji Bhojanalya,"Plot A 421, Block A, New Ashok Nagar, Vasundhara Enclave, New Delhi",+919540129977,3.9,300,,,,Dining|Delivery|,East Delhi
Nirula's,"Shop G-3, Plot 5, Ground Floor, Ashish Complex, L.S.C, Opposite Anand Lok Society, Mayur Vihar Phase 1, New Delhi",+917303546700,4.0,600,,,Pizza|Burger|Ice Cream|North Indian|Fast Food|Momos|Pasta|Beverages|,Dining|Delivery|,East Delhi
Scorpio Cafe,"G-4, Durga Complex, Pocket B, Mayur Vihar Phase 2, New Delhi",+919999187293,4.1,0,Spicy Chicken Sandwich|Chilli Potato|Pastas|White Sauce Pasta|Chicken Burger|Burgers|,Pocket friendly quick bites|,Chinese|Fast Food|Pizza|Burger|Sandwich|Rolls|North Indian|Biryani|,Dining|Delivery|Spicy Chicken Sandwich|Chilli Potato|Pastas|White Sauce Pasta|Chicken Burger|Burgers|Not very Crowded|Cozy Ambiance|Clean Place|Inexpensive|Great Staff|Friendly Place|,East Delhi
Haryana Sweets & Restaurant,"D 132, South Ganesh Nagar, Opposite Mother Dairy, Pandav Nagar, New Delhi",+919810106977,4.1,250,Plenty of Vegetarian Options|Chirpy Crowd|Great Recommendations|Nice Food|Tasty Food|Good Service|,Palak Paneer|Lassi|Chole|Thali|Dal Makhani|,North Indian|Mithai|South Indian|Street Food|Desserts|,Dining|Delivery|Palak Paneer|Lassi|Chole|Thali|Dal Makhani|Plenty of Vegetarian Options|Chirpy Crowd|Great Recommendations|Nice Food|Tasty Food|Good Service|,East Delhi
Roll Hub,"Shop 2, P 40, Mayur Vihar Phase 1, New Delhi",+919667300551,4.2,300,Wide variety of rolls|,,Rolls|North Indian|Momos|,Dining|Delivery|,East Delhi
Haldiram's,"90, Upper Ground, Parsavnath Mall, Metro Station, Link Road, Pandav Nagar, New Delhi",+919873611958,4.1,450,Casual Seating Area|Inexpensive|Good Crowd|Great Recommendations|Polite Staff|Hospitality|,Paneer Cutlets|Rabri Rasmalai|Makke Ki Roti|Rajkachori|Sev Puri|Lassi|,North Indian|Chinese|South Indian|Street Food|Desserts|Continental|Beverages|,Dining|Delivery|Paneer Cutlets|Rabri Rasmalai|Makke Ki Roti|Rajkachori|Sev Puri|Lassi|Casual Seating Area|Inexpensive|Good Crowd|Great Recommendations|Polite Staff|Hospitality|,East Delhi
Protein Bar Cafe,"111 B, Ground Floor, Pocket A 1, Mayur Vihar Phase 3, New Delhi",+917289877864,4.1,350,Fantastic Decoration|Cutlery|Delicious Taste|Best Food under Best Budget|Fresh Food|Good Quality|,,Healthy Food|Street Food|Fast Food|Burger|Sandwich|Salad|Shake|Beverages|,Dining|Delivery|Fantastic Decoration|Cutlery|Delicious Taste|Best Food under Best Budget|Fresh Food|Good Quality|,East Delhi
KFC,"Shop G3, Multi Level Parking, Vasundhara Enclave, New Delhi",+918042754444,4.1,400,Good Crowd|Comfort Food|Great Recommendations|Mouth Watering Food|Food Presentation|Timely Service|,,Burger|Fast Food|,Dining|Delivery|Good Crowd|Comfort Food|Great Recommendations|Mouth Watering Food|Food Presentation|Timely Service|,East Delhi
Giani's,"A-13, Acharya Niketan Market, Opposite Bhagyawan CHS, Mayur Vihar Phase 1, New Delhi",+911146648242,4.3,350,Student Crowd|Elaborate Menu|Customizable Food|Good Quality|Fresh Food|Quantity|,,Ice Cream|Desserts|Beverages|,Dining|Delivery|Student Crowd|Elaborate Menu|Customizable Food|Good Quality|Fresh Food|Quantity|,East Delhi
Punjabi Tadka,"27/494, Near Sawati Medical Store, Trilokpuri, New Delhi",+919968505539,3.4,100,,,North Indian|,,East Delhi
Yaara Di Chaap,"B-1/10, New Ashok Nagar, Vasundhara Enclave, New Delhi",+919354708435,3.9,300,Inexpensive|Clean and Hygienic Place|Best Food under Best Budget|Delicious Taste|Young Crowd|Tasty|,,North Indian|Chinese|Rolls|,Dining|Delivery|Inexpensive|Clean and Hygienic Place|Best Food under Best Budget|Delicious Taste|Young Crowd|Tasty|,East Delhi
The Burger Company,"A - 76, Vikas Marg, Laxmi Nagar, New Delhi",+919711500668,3.9,500,,,Fast Food|Burger|Beverages|Shake|,Dining|Delivery|,East Delhi
Burger Singh - Big Punjabi Burgers,"Shop 2, Ground Floor, Mayur Vihar Phase 1, New Delhi",+918826456808,4.2,150,Cute Packaging|Food Presentation|Worth the Money|Delicious Food|Timely Service|Extensive Menu|,,Burger|Fast Food|Beverages|Desserts|,Cute Packaging|Food Presentation|Worth the Money|Delicious Food|Timely Service|Extensive Menu|,East Delhi
Udupidarshini Veg Restaurant,"C-24/A, Acharya Niketan, Mayur Vihar Phase 1, New Delhi",+919643686168,4.3,300,Family Restaurant|Courteous Staff|Good Place|Ambience|Service|Quality|,,,Dining|Delivery|Family Restaurant|Courteous Staff|Good Place|Ambience|Service|Quality|,East Delhi
Granny's Flavour,"R-131, Super Shine Chowk, East Vinod Nagar, Mayur Vihar Phase 2, New Delhi",+918882643499,4.0,300,Meals|Nice Food|Good Quality Food|Food Taste|Excellent Food|Awesome Food|,Bedmi Puri|Aloo Paratha|Rajma Chawal|Tawa Roti|Kachori|Mix Veg|,North Indian|Chinese|South Indian|,Dining|Delivery|Bedmi Puri|Aloo Paratha|Rajma Chawal|Tawa Roti|Kachori|Mix Veg|Meals|Nice Food|Good Quality Food|Food Taste|Excellent Food|Awesome Food|,East Delhi
Shakil Chicken Corner,"B 208, B block, Hastsal Colony, Uttam Nagar, New Delhi",+919013361670,4.0,150,Tandoori|Good Taste|Spicy|Portion|Packing|Quantity|,,North Indian|Biryani|Rolls|,Tandoori|Good Taste|Spicy|Portion|Packing|Quantity|,West Delhi
Biryani Blues,"A 44, Ground Floor, Rajouri Garden, New Delhi",+918010801000,4.2,300,Loved it|Nice Taste|Spicy|Great Portions|Quality|,,Biryani|Kebab|Desserts|,Loved it|Nice Taste|Spicy|Great Portions|Quality|,West Delhi
Gulab,"A-44, Ground Floor, Rajouri Garden, New Delhi",+918920762015,3.8,150,,,,,West Delhi
Subway,"J 57, Ground Floor, Frontside, Bander Wali Khui, Ramesh Nagar, Kirti Nagar, New Delhi",+919871194501,4.1,400,Large Servings|Comforting Atmosphere|Mouth Watering Food|Fresh Food with Good Quality|Best Food under Best Budget|Delicious Taste|,Wrap|Salad|Sauce|Chicken|,Healthy Food|Fast Food|Sandwich|Salad|Wraps|Beverages|,Dining|Delivery|Wrap|Salad|Sauce|Chicken|Large Servings|Comforting Atmosphere|Mouth Watering Food|Fresh Food with Good Quality|Best Food under Best Budget|Delicious Taste|,West Delhi
Ramji Di Hatti & Caterers,"BE 324, Hari Nagar, Gali 4, Opposite M.I.G. Flats, Mayapuri Phase 2, New Delhi",+919650438007,4.1,400,Pocket Friendly|Good Crowd|Polite Staff|Reasonable Prices|Decor|Food Quality|,Chur Chur Naan Thali|Lassi|Chole Bhature|Raita|,North Indian|Chinese|Fast Food|,Dining|Delivery|Chur Chur Naan Thali|Lassi|Chole Bhature|Raita|Pocket Friendly|Good Crowd|Polite Staff|Reasonable Prices|Decor|Food Quality|,West Delhi
Burger King,"J-1/162, Ground Floor, Rajouri Garden, New Delhi",+911140523618,4.3,400,Student Crowd|Good Wifi|Location|Young Crowd|Customizable Food|Fresh Food|,,Burger|Fast Food|Street Food|,Dining|Delivery|Student Crowd|Good Wifi|Location|Young Crowd|Customizable Food|Fresh Food|,West Delhi
24 Hrs Tawa V/s Tandoor,"H A-44, Ground Floor, Block A2, Rajouri Garden, New Delhi",+919911441046,3.9,200,,,,,West Delhi
Burger Singh - Big Punjabi Burgers,"Shop 60, 61, J Block, DDA Market, Rajouri Garden, New Delhi",+918767121212,4.1,300,Fantastic Decoration|Clean and Hygienic Place|Healthy and Delicious|Fresh Food with Good Quality|Delicious Taste|Mouth Watering Food|,,Burger|Fast Food|Momos|Beverages|Desserts|,Dining|Delivery|Fantastic Decoration|Clean and Hygienic Place|Healthy and Delicious|Fresh Food with Good Quality|Delicious Taste|Mouth Watering Food|,West Delhi
Sagar Ratna,"2nd & 3rd Floor, Metro Pillar Number 421, Najafgarh Road, Block�Z, Tagore Garden, New Delhi",+917428386413,4.0,250,Good Quality Good Service|Tamper Proof Packaging|Food Quality|Quantity|Great Portions|Taste|,,South Indian|North Indian|Desserts|Beverages|,Good Quality Good Service|Tamper Proof Packaging|Food Quality|Quantity|Great Portions|Taste|,West Delhi
Creme N Crisp,"A6/8, Ground Floor, Paschim Vihar, New Delhi",+919821158852,3.8,400,,,Bakery|Pizza|Sandwich|Fast Food|Street Food|Desserts|Beverages|,Dining|Delivery|,West Delhi
Bikanervala,"A-2/43, 1st Floor, Rajouri Garden, New Delhi",+911125930633,4.1,450,Gift Baskets Available|Good for Families|Parking Space Available|Self Service|Economical|Family Restaurant|,Kesar Badam Milk|Bedmi Poori|Bhalla Papdi|Matar Kulcha|Dhokla|Tandoori Platter|,Mithai|North Indian|South Indian|Chinese|Street Food|Momos|,Dining|Delivery|Kesar Badam Milk|Bedmi Poori|Bhalla Papdi|Matar Kulcha|Dhokla|Tandoori Platter|Gift Baskets Available|Good for Families|Parking Space Available|Self Service|Economical|Family Restaurant|,West Delhi
Madras Cafe,"1, H Block, DDA Market, Near K R Mangalam School Road, Vikaspuri, New Delhi",+919868020232,3.9,300,Economical|Prompt Service|Prices|Quality|,,South Indian|Chinese|,Dining|Delivery|Economical|Prompt Service|Prices|Quality|,West Delhi
Delhi Darbar Biryani Point,"B-234, Gali 4, B Block, East Metro Station, Uttam Nagar, New Delhi",+917303297373,4.2,350,Taste of Real Biryani|Elegantly Decorated|Office Crowd|Drive through|Comfort Food|Reasonable Prices|,,Biryani|Mughlai|North Indian|,Dining|Delivery|Taste of Real Biryani|Elegantly Decorated|Office Crowd|Drive through|Comfort Food|Reasonable Prices|,West Delhi
Kream's,"Shop 6, D-121, Vikaspuri, New Delhi",+919990990963,4.2,50,Low Price|Good Taste|Bread|Good Service|Prices|Good Quality|,Supreme Burger|Pastries|Cakes|Burgers|Snacks|,Bakery|Fast Food|Desserts|,Supreme Burger|Pastries|Cakes|Burgers|Snacks|Low Price|Good Taste|Bread|Good Service|Prices|Good Quality|,West Delhi
The Dhaba Junction,"14 A/22 Ground Floor, WEA, Karol Bagh, New Delhi",+911140349119,3.5,600,Cutlery|Good Wifi|Good Music|Elaborate Menu|Fresh Food|Customizable Food|,,Mughlai|Fast Food|North Indian|Beverages|Chinese|,Dining|Delivery|Cutlery|Good Wifi|Good Music|Elaborate Menu|Fresh Food|Customizable Food|,West Delhi
Hira Sweets,"A-2, Opposite Metro Pillar 329, Kirti Nagar, New Delhi",+911141633158,4.1,500,Nice Outlet|Fantastic Decoration|Clean and Hygienic Place|Elaborate Menu|Great Place|Fresh Food|,,Mithai|North Indian|South Indian|Chinese|Street Food|,Dining|Delivery|Nice Outlet|Fantastic Decoration|Clean and Hygienic Place|Elaborate Menu|Great Place|Fresh Food|,West Delhi
Bikkgane Biryani,"A4, 2nd Floor, Shivaji Enclave, DDA Market, Near Wine Shop, Rajouri Garden, New Delhi",+911147009662,3.9,0,Mutton Handi Biriyani|Gobi Manchurian|Andhra Mutton Fry|Paneer 65|Lemon Chicken|Chicken 65|,Extensive range of Hyderabadi biryanis and array of tikkas|kebabs|and curries to choose from|,Biryani|North Indian|Mughlai|Hyderabadi|Andhra|,Mutton Handi Biriyani|Gobi Manchurian|Andhra Mutton Fry|Paneer 65|Lemon Chicken|Chicken 65|Good Portion Size|Best Prices|Fast Delivery Service|Good Packing|Prompt Delivery|Amazing Service|,West Delhi
Everest Momos & Chinese Fast Food,"C-24, Shivaji Park Market, Punjabi Bagh, New Delhi",+917503609018,4.0,350,Cozy Ambiance|Good Crowd|Low Price|Prompt Service|Pocket Friendly|Quantity|,Chicken Spring Roll|Chilli Potatoes|Noodle|Chilli Garlic Noodles|Chicken Momo|Veg Fried Rice|,Chinese|Momos|Fast Food|,Dining|Delivery|Chicken Spring Roll|Chilli Potatoes|Noodle|Chilli Garlic Noodles|Chicken Momo|Veg Fried Rice|Cozy Ambiance|Good Crowd|Low Price|Prompt Service|Pocket Friendly|Quantity|,West Delhi
Bakingo,"Shop 55, Ground Floor, Najafgarh Road, Shivaji Market, Tagore Garden, New Delhi",+917428050218,4.5,50,Fast Delivery|Amazing Taste|Tasty|Great Taste|Good Taste|Great Service|,,Bakery|Desserts|,Fast Delivery|Amazing Taste|Tasty|Great Taste|Good Taste|Great Service|,West Delhi
Om Sweets & Snacks,"GL-23, Hari Nagar, Jail Road, New Delhi",+911145782222,4.3,0,Tomato Cheese Sandwich|Amritsari Koolcha|Crispy Jalebi|Malai Ghewar|Imarti|South Indian Platter|,Sweets|Snacks|& Ready-To-Eat Tit-Bits|,Mithai|North Indian|South Indian|Chinese|,Dining|Delivery|Tomato Cheese Sandwich|Amritsari Koolcha|Crispy Jalebi|Malai Ghewar|Imarti|South Indian Platter|Chirpy Crowd|Drive through|Not very Crowded|Cozy Ambiance|Inexpensive|Family Restaurant|,West Delhi
KFC,"Shop G-03, Ground Floor & Mezzanine Floor, New Ashok Nagar Metro Station, Rajouri Garden, New Delhi",+918042754444,4.2,400,Clean and Hygienic Place|Weekend Brunch|Student Crowd|Elaborate Menu|Food Presentation|Good Quality|,,Burger|Fast Food|,Dining|Delivery|Clean and Hygienic Place|Weekend Brunch|Student Crowd|Elaborate Menu|Food Presentation|Good Quality|,West Delhi
Tite Da Dhaba,"B 595-596, Shivaji College Road, Raghubir Nagar, Rajouri Garden, New Delhi",+919891985041,4.2,500,Pocket Friendly|Behavior|Tasty Food|Value for Money|Packaging|Quantity|,,,Dining|Delivery|Pocket Friendly|Behavior|Tasty Food|Value for Money|Packaging|Quantity|,West Delhi
Grover Sweets,"Shop 2&3, J1/162, Rajouri Garden, New Delhi",+919560009462,4.1,100,,,,,West Delhi
Haldiram's,"C-4, Ground Floor, Rajouri Garden, New Delhi",+918588027416,3.9,450,,,North Indian|Chinese|South Indian|Street Food|Desserts|Continental|Beverages|,Dining|Delivery|,West Delhi
Domino's Pizza,"J-2/20, Ground Floor, BK Dutta Market, Rajouri Garden, New Delhi",+911141446835,4.2,400,Pocket Friendly|Polite Staff|Manager|Table|Great Taste|Nice Place|,Cheese Burst|Stuffed Garlic Bread|Pizzas|Corn|,Pizza|Fast Food|,Dining|Delivery|Cheese Burst|Stuffed Garlic Bread|Pizzas|Corn|Pocket Friendly|Polite Staff|Manager|Table|Great Taste|Nice Place|,West Delhi
Taco Bell,"Shop 2F/10, Second Floor, Pacific Mall, Najafgarh Road, Tagore Garden, New Delhi",+919289072094,4.0,500,Comforting Atmosphere|Food Presentation|Worth the Money|Service|,,Mexican|Fast Food|Wraps|,Dining|Delivery|Comforting Atmosphere|Food Presentation|Worth the Money|Service|,West Delhi
Janki Vaishno Dhaba,"WZ 712, Shop 2, Tihar Village, Jail Road, New Delhi",+919958697534,4.1,400,Desi Vibes|Pocket Friendly|Quick Delivery|Reasonable Price|Tasty Food|Good Food|,Vegetable Chowmein|Tawa Chaap|Shahi Paneer|Dal Makhni|,,Dining|Delivery|Vegetable Chowmein|Tawa Chaap|Shahi Paneer|Dal Makhni|Desi Vibes|Pocket Friendly|Quick Delivery|Reasonable Price|Tasty Food|Good Food|,West Delhi
Pizza Hut,"J-12/3, Rajouri Garden, New Delhi",+911142316685,3.6,800,Casual Seating Area|Economical|Pocket Friendly|Prompt Service|Polite Staff|Manager|,Tandoor Paneer Pizza|Choco Truffle Cake|Cheesy Garlic Bread|Pizzas|,Pizza|Fast Food|Pasta|Beverages|Desserts|,Dining|Delivery|Tandoor Paneer Pizza|Choco Truffle Cake|Cheesy Garlic Bread|Pizzas|Casual Seating Area|Economical|Pocket Friendly|Prompt Service|Polite Staff|Manager|,West Delhi
Godavari Bakers,"A4-C/A, Near Mota Singh School, Janakpuri, New Delhi",+919910488548,4.0,100,Pocket Friendly Prices|Good Taste|Worth the Money|Portion|Proper Packaging|Good Service|,Grilled Cheese Burger|Paneer Puff|Paneer Patty|Aloo Patty|Chocolate Truffle Pastry|,Bakery|Fast Food|Pizza|,Grilled Cheese Burger|Paneer Puff|Paneer Patty|Aloo Patty|Chocolate Truffle Pastry|Pocket Friendly Prices|Good Taste|Worth the Money|Portion|Proper Packaging|Good Service|,West Delhi
